STUDENT_ID|TERM|COURSE|STUDENT
90000090|'202520.CHEM1111.05Z.rzehnder'
90000091|'202520.CHEM1111.10Z.sdharmarajan'
90000092|'202520.PHYS1102.02Z.challen'
90000093|'202520.PHYS1102.01Z.eholik'
90000094|'202520.PHYS1102.03Z.eholik'
90000095|'202520.CHEM1111.07Z.rzehnder'
90000096|'202520.BIOL4421.01Z.lfohn1'
90000097|'202520.PHYS2125.01Z.kcarrell'
90000098|'202520.BIOL2420.03Z.hjones13'
90000099|'202520.BIOL1413.03Z.bskipper'
90000100|'202520.CHEM3462.02Z.gsmith34'
90000101|'202520.CHEM4233.02Z.eosborne,202520.PHYS2126.01Z.swilliams36'
90000102|'202520.CHEM1106.03Z.jmaxwell'
90000103|'202520.BIOL2420.03Z.hjones13,202520.CHEM1106.04Z.jmaxwell'
90000104|'202520.BIOL2124.02Z.hjones13'
90000105|'202520.BIOL4421.01Z.lfohn1'
90000106|'202520.BIOL1413.03Z.bskipper,202520.PHYS1102.01Z.eholik'
90000107|'202520.PHYS2125.02Z.mholcomb3'
90000108|'202520.CHEM1111.10Z.sdharmarajan'
90000109|'202520.CHEM1111.07Z.rzehnder'
90000110|'202520.CHEM1112.04Z.gsmith34'
90000111|'202520.PHYS1102.01Z.eholik'
90000112|'202520.GEOL1104.04Z.jgarza85'
90000113|'202520.CHEM1112.06Z.gsmith34'
90000114|'202520.BIOL3403.01Z.lammerma'
90000115|'202520.CHEM1111.10Z.sdharmarajan'
90000116|'202520.PHYS2125.01Z.kcarrell'
90000117|'202520.CHEM4233.02Z.eosborne,202520.PHYS2126.01Z.swilliams36'
90000118|'202520.CHEM3452.04Z.sramasamy'
90000119|'202520.BIOL2124.03Z.cadkins'
90000120|'202520.CHEM1111.05Z.rzehnder'
90000121|'202520.CHEM1112.06Z.gsmith34'
90000122|'202520.PHYS1102.03Z.eholik'
90000123|'202520.PHYS1102.02Z.challen'
90000124|'202520.BIOL1413.03Z.bskipper,202520.BIOL2124.01Z.cadkins'
90000125|'202520.BIOL2124.03Z.cadkins'
90000126|'202520.BIOL2420.01Z.hjones13'
90000127|'202520.PHYS2126.01Z.swilliams36'
90000128|'202520.CHEM1112.04Z.gsmith34'
90000129|'202520.CHEM1111.09Z.jcarr17'
90000130|'202520.PHYS1102.03Z.eholik'
90000131|'202520.BIOL2124.02Z.hjones13'
90000132|'202520.CHEM1112.08Z.eosborne'
90000133|'202520.CHEM1112.06Z.gsmith34'
90000134|'202520.CHEM1111.10Z.sdharmarajan'
90000135|'202520.PHYS1102.02Z.challen'
90000136|'202520.BIOL2420.02Z.hjones13'
90000137|'202520.PHYS1102.01Z.eholik'
90000138|'202520.PHYS2125.01Z.kcarrell'
90000139|'202520.CHEM1106.05Z.jmaxwell'
90000140|'202520.PHYS2126.02Z.challen'
90000141|'202520.CHEM1111.08Z.rzehnder'
90000142|'202520.PHYS1102.03Z.eholik'
90000143|'202520.CHEM1106.05Z.jmaxwell'
90000144|'202520.CHEM1111.06Z.sdharmarajan,202520.PHYS2126.01Z.swilliams36'
90000145|'202520.CHEM3452.04Z.sramasamy'
90000146|'202520.CHEM1111.08Z.rzehnder'
90000147|'202520.BIOL2124.01Z.cadkins,202520.CHEM1106.03Z.jmaxwell'
90000148|'202520.BIOL2124.03Z.cadkins,202520.BIOL2420.01Z.hjones13'
90000149|'202520.CHEM4233.02Z.eosborne,202520.PHYS2125.02Z.mholcomb3'
90000150|'202520.PHYS1102.01Z.eholik'
90000151|'202520.PHYS1102.01Z.eholik'
90000152|'202520.CHEM3452.04Z.sramasamy,202520.PHYS1102.02Z.challen'
90000153|'202520.CHEM1111.09Z.jcarr17'
90000154|'202520.PHYS1102.01Z.eholik'
90000155|'202520.PHYS2125.02Z.mholcomb3'
90000156|'202520.GEOL1104.04Z.jgarza85'
90000157|'202520.CHEM1111.08Z.rzehnder'
90000158|'202520.CHEM3452.04Z.sramasamy'
90000159|'202520.PHYS1102.01Z.eholik'
90000160|'202520.PHYS2126.01Z.swilliams36'
90000161|'202520.BIOL1413.03Z.bskipper,202520.CHEM1111.10Z.sdharmarajan'
90000162|'202520.PHYS1102.02Z.challen'
90000163|'202520.CHEM1111.06Z.sdharmarajan'
90000164|'202520.PHYS2126.02Z.challen'
90000165|'202520.BIOL3403.01Z.lammerma,202520.PHYS1102.01Z.eholik'
90000166|'202520.BIOL3403.01Z.lammerma'
90000167|'202520.CHEM1111.05Z.rzehnder'
90000168|'202520.CHEM1111.06Z.sdharmarajan'
90000169|'202520.CHEM1112.05Z.gsmith34'
90000170|'202520.CHEM1112.05Z.gsmith34'
90000171|'202520.CHEM1111.06Z.sdharmarajan'
90000172|'202520.BIOL3403.01Z.lammerma,202520.PHYS1102.01Z.eholik'
90000173|'202520.PHYS2126.02Z.challen'
90000174|'202520.CHEM3452.05Z.sramasamy'
90000175|'202520.GEOL1104.03Z.ekoemanshields'
90000176|'202520.CHEM1111.08Z.rzehnder'
90000177|'202520.CHEM3452.05Z.sramasamy'
90000178|'202520.GEOL1104.03Z.ekoemanshields'
90000179|'202520.GEOL1104.04Z.jgarza85'
90000180|'202520.CHEM3452.04Z.sramasamy'
90000181|'202520.GEOL1104.04Z.jgarza85'
90000182|'202520.CHEM1112.06Z.gsmith34'
90000183|'202520.PHYS2126.01Z.swilliams36'
90000184|'202520.GEOL1104.04Z.jgarza85'
90000185|'202520.CHEM1112.07Z.gsmith34'
90000186|'202520.BIOL2420.02Z.hjones13'
90000187|'202520.CHEM3452.05Z.sramasamy,202520.PHYS1102.03Z.eholik'
90000188|'202520.CHEM1112.08Z.eosborne'
90000189|'202520.CHEM1106.03Z.jmaxwell'
90000190|'202520.GEOL1104.04Z.jgarza85'
90000191|'202520.CHEM1112.06Z.gsmith34'
90000192|'202520.PHYS2126.02Z.challen'
90000193|'202520.PHYS1102.01Z.eholik'
90000194|'202520.BIOL2124.03Z.cadkins'
90000195|'202520.GEOL1104.02Z.sshields2'
90000196|'202520.BIOL1413.02Z.eabreu,202520.PHYS1102.03Z.eholik'
90000197|'202520.GEOL1104.04Z.jgarza85'
90000198|'202520.BIOL1413.03Z.bskipper'
90000199|'202520.CHEM1112.07Z.gsmith34'
90000200|'202520.BIOL1413.02Z.eabreu'
90000201|'202520.BIOL2124.04Z.cadkins'
90000202|'202520.CHEM3452.03Z.sramasamy,202520.PHYS1102.03Z.eholik'
90000203|'202520.BIOL2124.04Z.cadkins'
90000204|'202520.BIOL2124.02Z.hjones13'
90000205|'202520.CHEM1111.08Z.rzehnder,202520.GEOL1104.02Z.sshields2'
90000206|'202520.BIOL2124.04Z.cadkins'
90000207|'202520.CHEM1111.09Z.jcarr17'
90000208|'202520.BIOL2420.03Z.hjones13'
90000209|'202520.GEOL1104.03Z.ekoemanshields'
90000210|'202520.BIOL2124.04Z.cadkins'
90000211|'202520.PHYS1102.02Z.challen'
90000212|'202520.CHEM1112.05Z.gsmith34'
90000213|'202520.GEOL1104.01Z.jgarza85'
90000214|'202520.CHEM1111.05Z.rzehnder'
90000215|'202520.CHEM1111.08Z.rzehnder'
90000216|'202520.BIOL1413.02Z.eabreu,202520.BIOL4450.01Z.lammerma'
90000217|'202520.PHYS2126.02Z.challen'
90000218|'202520.CHEM1111.09Z.jcarr17'
90000219|'202520.CHEM4233.02Z.eosborne,202520.PHYS2125.02Z.mholcomb3'
90000220|'202520.GEOL1104.03Z.ekoemanshields'
90000221|'202520.CHEM1111.08Z.rzehnder'
90000222|'202520.CHEM1111.08Z.rzehnder'
90000223|'202520.CHEM3452.04Z.sramasamy,202520.PHYS1102.02Z.challen'
90000224|'202520.CHEM1111.09Z.jcarr17'
90000225|'202520.CHEM1111.10Z.sdharmarajan'
90000226|'202520.PHYS2125.01Z.kcarrell'
90000227|'202520.BIOL2124.03Z.cadkins'
90000228|'202520.CHEM1111.08Z.rzehnder'
90000229|'202520.BIOL2420.01Z.hjones13'
90000230|'202520.CHEM1106.05Z.jmaxwell'
90000231|'202520.BIOL2124.01Z.cadkins,202520.CHEM3452.04Z.sramasamy'
90000232|'202520.PHYS1102.01Z.eholik'
90000233|'202520.CHEM1112.04Z.gsmith34'
90000234|'202520.GEOL1104.01Z.jgarza85'
90000235|'202520.CHEM3452.04Z.sramasamy,202520.PHYS1102.03Z.eholik'
90000236|'202520.BIOL2124.03Z.cadkins'
90000237|'202520.CHEM1111.09Z.jcarr17'
90000238|'202520.CHEM1112.05Z.gsmith34'
90000239|'202520.GEOL1104.04Z.jgarza85'
90000240|'202520.CHEM1111.10Z.sdharmarajan'
90000241|'202520.PHYS2125.01Z.kcarrell'
90000242|'202520.CHEM1111.07Z.rzehnder'
90000243|'202520.CHEM1111.08Z.rzehnder'
90000244|'202520.PHYS1102.02Z.challen'
90000245|'202520.PHYS1102.03Z.eholik'
90000246|'202520.CHEM1111.09Z.jcarr17'
90000247|'202520.BIOL2420.01Z.hjones13'
90000248|'202520.CHEM1111.06Z.sdharmarajan'
90000249|'202520.CHEM1112.06Z.gsmith34'
90000250|'202520.PHYS2126.01Z.swilliams36'
90000251|'202520.BIOL3403.01Z.lammerma,202520.PHYS1102.01Z.eholik'
90000252|'202520.PHYS2125.01Z.kcarrell'
90000253|'202520.CHEM1111.09Z.jcarr17'
90000254|'202520.PHYS2126.02Z.challen'
90000255|'202520.BIOL1413.02Z.eabreu,202520.CHEM1112.05Z.gsmith34'
90000256|'202520.CHEM1112.06Z.gsmith34'
90000257|'202520.CHEM1112.08Z.eosborne'
90000258|'202520.CHEM1112.06Z.gsmith34'
90000259|'202520.CHEM1106.05Z.jmaxwell'
90000260|'202520.CHEM1111.07Z.rzehnder'
90000261|'202520.GEOL1104.03Z.ekoemanshields'
90000262|'202520.CHEM3452.03Z.sramasamy'
90000263|'202520.GEOL1104.02Z.sshields2,202520.PHYS2126.02Z.challen'
90000264|'202520.BIOL1413.02Z.eabreu'
90000265|'202520.CHEM1111.10Z.sdharmarajan'
90000266|'202520.GEOL1104.03Z.ekoemanshields'
